INSERT INTO main_weapons (weapon_name, count, weapon_num, employee_id_id, status, date_of_rec, description) VALUES
('АК 74', 1, 112243, 72, 'выдано', '2017-02-24', ''),
('АК 74', 1, 445576, 73, 'выдано', '2021-12-30', ''),
('АК 74', 1, 778909, 74, 'выдано', '2015-10-03', ''),
('АК 74', 1, 990021, 75, 'выдано', '2022-08-07', ''),
('АК 74', 1, 334465, 76, 'выдано', '2020-06-11', ''),
('АК 74', 1, 667798, 77, 'выдано', '2018-04-15', ''),
('АК 74', 1, 112244, 78, 'выдано', '2016-02-18', ''),
('АК 74', 1, 445577, 79, 'выдано', '2019-11-24', ''),
('АК 74', 1, 778910, 80, 'выдано', '2017-09-26', ''),
('АК 74', 1, 990022, 81, 'выдано', '2023-07-31', ''),
('АК 74', 1, 334466, 82, 'выдано', '2015-06-05', ''),
('АК 74', 1, 667799, 83, 'выдано', '2020-03-08', ''),
('АК 74', 1, 112245, 84, 'выдано', '2018-01-11', ''),
('АК 74', 1, 445578, 85, 'выдано', '2016-11-15', ''),
('АК 74', 1, 778911, 86, 'выдано', '2019-08-19', ''),
('АК 74', 1, 990023, 87, 'выдано', '2017-05-22', ''),
('АК 74', 1, 334467, 88, 'выдано', '2022-03-25', ''),
('АК 74', 1, 667800, 89, 'выдано', '2015-01-28', ''),
('АК 74', 1, 112246, 90, 'выдано', '2020-11-02', ''),
('АК 74', 1, 445579, 91, 'выдано', '2018-09-06', ''),
('АК 74', 1, 778912, 92, 'выдано', '2016-07-10', ''),
('АК 74', 1, 990024, 93, 'выдано', '2021-03-14', ''),
('АК 74', 1, 334468, 94, 'выдано', '2019-02-17', ''),
('АК 74', 1, 667801, 95, 'выдано', '2017-12-20', ''),
('АК 74', 1, 112247, 96, 'выдано', '2023-10-25', ''),
('АК 74', 1, 445580, 97, 'выдано', '2015-06-29', ''),
('АК 74', 1, 778913, 98, 'выдано', '2020-04-02', ''),
('АК 74', 1, 990025, 99, 'выдано', '2018-01-05', ''),
('АК 74', 1, 334469, 100, 'выдано', '2016-11-08', '');
