INSERT INTO main_property (id, name, inv_num, date_of_rec, status, employee_id_id, description)
VALUES
(1, 'рюкзак', 'инв.14125', '2016-03-12', 'в наличии', 1, '-'),
(89, 'рюкзак', 'инв.87042', '2016-03-29', 'в наличии', 23, '-'),
(90, 'шлем', 'инв.64179', '2017-08-22', 'в наличии', 23, '-'),
(91, 'бронежилет', 'инв.50361', '2018-11-15', 'в наличии', 23, '-'),
(92, 'противогаз', 'инв.92815', '2020-06-12', 'в наличии', 23, '-'),
(93, 'рюкзак', 'инв.61092', '2015-11-20', 'в наличии', 24, '-'),
(94, 'шлем', 'инв.46087', '2017-04-15', 'в наличии', 24, '-'),
(95, 'бронежилет', 'инв.79243', '2018-09-08', 'в наличии', 24, '-'),
(96, 'противогаз', 'инв.56928', '2019-04-03', 'в наличии', 24, '-'),
(97, 'рюкзак', 'инв.48263', '2015-07-05', 'в наличии', 25, '-'),
(98, 'шлем', 'инв.70592', '2016-12-28', 'в наличии', 25, '-'),
(99, 'бронежилет', 'инв.26814', '2018-03-23', 'в наличии', 25, '-'),
(100, 'противогаз', 'инв.94175', '2019-10-18', 'в наличии', 25, '-'),
(101, 'рюкзак', 'инв.71526', '2016-07-11', 'в наличии', 26, '-'),
(102, 'шлем', 'инв.50937', '2017-12-04', 'в наличии', 26, '-'),
(103, 'бронежилет', 'инв.91328', '2019-05-29', 'в наличии', 26, '-'),
(104, 'противогаз', 'инв.36741', '2020-04-23', 'в наличии', 26, '-'),
(105, 'рюкзак', 'инв.67825', '2015-11-21', 'в наличии', 27, '-'),
(106, 'шлем', 'инв.12964', '2017-04-16', 'в наличии', 27, '-'),
(107, 'бронежилет', 'инв.39257', '2018-09-09', 'в наличии', 27, '-'),
(108, 'противогаз', 'инв.84216', '2019-04-04', 'в наличии', 27, '-'),
(109, 'рюкзак', 'инв.64097', '2016-04-01', 'в наличии', 28, '-'),
(110, 'шлем', 'инв.86173', '2017-08-25', 'в наличии', 28, '-'),
(111, 'бронежилет', 'инв.50314', '2018-11-18', 'в наличии', 28, '-'),
(112, 'противогаз', 'инв.59642', '2020-06-10', 'в наличии', 28, '-'),
(113, 'рюкзак', 'инв.51189', '2015-11-25', 'в наличии', 29, '-'),
(114, 'шлем', 'инв.73642', '2017-04-20', 'в наличии', 29, '-'),
(115, 'бронежилет', 'инв.19854', '2018-09-13', 'в наличии', 29, '-'),
(116, 'противогаз', 'инв.49651', '2019-04-08', 'в наличии', 29, '-'),
(117, 'рюкзак', 'инв.73094', '2016-07-16', 'в наличии', 30, '-'),
(118, 'шлем', 'инв.92173', '2017-12-09', 'в наличии', 30, '-'),
(119, 'бронежилет', 'инв.80526', '2019-05-02', 'в наличии', 30, '-'),
(120, 'противогаз', 'инв.49731', '2020-03-27', 'в наличии', 30, '-'),
(121, 'рюкзак', 'инв.67624', '2015-11-19', 'в наличии', 31, '-'),
(122, 'шлем', 'инв.40975', '2017-04-14', 'в наличии', 31, '-'),
(123, 'бронежилет', 'инв.28416', '2018-09-07', 'в наличии', 31, '-'),
(124, 'противогаз', 'инв.59372', '2019-04-02', 'в наличии', 31, '-'),
(125, 'рюкзак', 'инв.48562', '2015-07-06', 'в наличии', 32, '-'),
(126, 'шлем', 'инв.70284', '2016-12-29', 'в наличии', 32, '-'),
(127, 'бронежилет', 'инв.16835', '2018-03-22', 'в наличии', 32, '-'),
(128, 'противогаз', 'инв.69427', '2019-10-17', 'в наличии', 32, '-'),
(129, 'рюкзак', 'инв.71352', '2016-07-10', 'в наличии', 33, '-'),
(130, 'шлем', 'инв.50974', '2017-12-03', 'в наличии', 33, '-'),
(131, 'бронежилет', 'инв.19483', '2019-05-28', 'в наличии', 33, '-'),
(132, 'противогаз', 'инв.36394', '2020-04-22', 'в наличии', 33, '-'),
(133, 'рюкзак', 'инв.61254', '2015-11-26', 'в наличии', 34, '-'),
(134, 'шлем', 'инв.43786', '2017-04-21', 'в наличии', 34, '-'),
(135, 'бронежилет', 'инв.91834', '2018-09-14', 'в наличии', 34, '-'),
(136, 'противогаз', 'инв.84167', '2019-04-09', 'в наличии', 34, '-'),
(137, 'рюкзак', 'инв.64628', '2016-04-06', 'в наличии', 35, '-'),
(138, 'шлем', 'инв.86179', '2017-08-21', 'в наличии', 35, '-'),
(139, 'бронежилет', 'инв.50391', '2018-11-14', 'в наличии', 35, '-'),
(140, 'противогаз', 'инв.59234', '2020-06-11', 'в наличии', 35, '-'),
(141, 'рюкзак', 'инв.51976', '2015-11-22', 'в наличии', 36, '-'),
(142, 'шлем', 'инв.73948', '2017-04-17', 'в наличии', 36, '-'),
(143, 'бронежилет', 'инв.30682', '2018-09-10', 'в наличии', 36, '-'),
(144, 'противогаз', 'инв.94572', '2019-04-05', 'в наличии', 36, '-'),
(145, 'рюкзак', 'инв.69472', '2015-07-04', 'в наличии', 37, '-'),
(146, 'шлем', 'инв.70283', '2016-12-27', 'в наличии', 37, '-'),
(147, 'бронежилет', 'инв.10382', '2018-03-20', 'в наличии', 37, '-'),
(148, 'противогаз', 'инв.69427', '2019-10-15', 'в наличии', 37, '-'),
(149, 'рюкзак', 'инв.71142', '2016-07-07', 'в наличии', 38, '-'),
(150, 'шлем', 'инв.50973', '2017-12-02', 'в наличии', 38, '-'),
(151, 'бронежилет', 'инв.19483', '2019-05-27', 'в наличии', 38, '-'),
(152, 'противогаз', 'инв.36294', '2020-04-20', 'в наличии', 38, '-'),
(153, 'рюкзак', 'инв.61254', '2015-11-28', 'в наличии', 39, '-'),
(154, 'шлем', 'инв.43786', '2017-04-23', 'в наличии', 39, '-'),
(155, 'бронежилет', 'инв.91834', '2018-09-16', 'в наличии', 39, '-'),
(156, 'противогаз', 'инв.84167', '2019-04-11', 'в наличии', 39, '-'),
(157, 'рюкзак', 'инв.64628', '2016-04-08', 'в наличии', 40, '-'),
(158, 'шлем', 'инв.86179', '2017-08-23', 'в наличии', 40, '-'),
(159, 'бронежилет', 'инв.50391', '2018-11-16', 'в наличии', 40, '-'),
(160, 'противогаз', 'инв.59234', '2020-06-13', 'в наличии', 40, '-'),
(161, 'рюкзак', 'инв.51976', '2015-11-24', 'в наличии', 41, '-'),
(162, 'шлем', 'инв.73948', '2017-04-19', 'в наличии', 41, '-'),
(163, 'бронежилет', 'инв.30682', '2018-09-12', 'в наличии', 41, '-'),
(164, 'противогаз', 'инв.94572', '2019-04-07', 'в наличии', 41, '-'),
(165, 'рюкзак', 'инв.69472', '2015-07-06', 'в наличии', 42, '-'),
(166, 'шлем', 'инв.70283', '2016-12-31', 'в наличии', 42, '-'),
(167, 'бронежилет', 'инв.10382', '2018-03-24', 'в наличии', 42, '-'),
(168, 'противогаз', 'инв.69427', '2019-10-20', 'в наличии', 42, '-'),
(169, 'рюкзак', 'инв.71142', '2016-07-09', 'в наличии', 43, '-'),
(170, 'шлем', 'инв.50973', '2017-12-04', 'в наличии', 43, '-'),
(171, 'бронежилет', 'инв.19483', '2019-05-29', 'в наличии', 43, '-'),
(172, 'противогаз', 'инв.36294', '2020-04-24', 'в наличии', 43, '-'),
(173, 'рюкзак', 'инв.61254', '2015-11-27', 'в наличии', 44, '-'),
(174, 'шлем', 'инв.43786', '2017-04-22', 'в наличии', 44, '-'),
(175, 'бронежилет', 'инв.91834', '2018-09-15', 'в наличии', 44, '-'),
(176, 'противогаз', 'инв.84167', '2019-04-10', 'в наличии', 44, '-'),
(177, 'рюкзак', 'инв.64628', '2016-04-07', 'в наличии', 45, '-'),
(178, 'шлем', 'инв.86179', '2017-08-22', 'в наличии', 45, '-'),
(179, 'бронежилет', 'инв.50391', '2018-11-17', 'в наличии', 45, '-'),
(180, 'противогаз', 'инв.59234', '2020-06-12', 'в наличии', 45, '-'),
(181, 'рюкзак', 'инв.51976', '2015-11-23', 'в наличии', 46, '-'),
(182, 'шлем', 'инв.73948', '2017-04-18', 'в наличии', 46, '-'),
(183, 'бронежилет', 'инв.30682', '2018-09-11', 'в наличии', 46, '-'),
(184, 'противогаз', 'инв.94572', '2019-04-06', 'в наличии', 46, '-'),
(185, 'рюкзак', 'инв.69472', '2015-07-05', 'в наличии', 47, '-'),
(186, 'шлем', 'инв.70283', '2016-12-30', 'в наличии', 47, '-'),
(187, 'бронежилет', 'инв.10382', '2018-03-23', 'в наличии', 47, '-'),
(188, 'противогаз', 'инв.69427', '2019-10-18', 'в наличии', 47, '-'),
(189, 'рюкзак', 'инв.71142', '2016-07-08', 'в наличии', 48, '-'),
(190, 'шлем', 'инв.50973', '2017-12-03', 'в наличии', 48, '-'),
(191, 'бронежилет', 'инв.19483', '2019-05-28', 'в наличии', 48, '-'),
(192, 'противогаз', 'инв.36294', '2020-04-23', 'в наличии', 48, '-'),
(193, 'рюкзак', 'инв.61254', '2015-11-25', 'в наличии', 49, '-'),
(194, 'шлем', 'инв.43786', '2017-04-20', 'в наличии', 49, '-'),
(195, 'бронежилет', 'инв.91834', '2018-09-13', 'в наличии', 49, '-'),
(196, 'противогаз', 'инв.84167', '2019-04-08', 'в наличии', 49, '-'),
(197, 'рюкзак', 'инв.64628', '2016-04-05', 'в наличии', 50, '-'),
(198, 'шлем', 'инв.86179', '2017-08-20', 'в наличии', 50, '-'),
(199, 'бронежилет', 'инв.50391', '2018-11-15', 'в наличии', 50, '-'),
(200, 'противогаз', 'инв.59234', '2020-06-09', 'в наличии', 50, '-'),
(201, 'рюкзак', 'инв.51976', '2015-11-27', 'в наличии', 51, '-'),
(202, 'шлем', 'инв.73948', '2017-04-22', 'в наличии', 51, '-'),
(203, 'бронежилет', 'инв.30682', '2018-09-12', 'в наличии', 51, '-'),
(204, 'противогаз', 'инв.94572', '2019-04-07', 'в наличии', 51, '-'),
(205, 'рюкзак', 'инв.69472', '2015-07-06', 'в наличии', 52, '-'),
(206, 'шлем', 'инв.70283', '2016-12-29', 'в наличии', 52, '-'),
(207, 'бронежилет', 'инв.10382', '2018-03-24', 'в наличии', 52, '-'),
(208, 'противогаз', 'инв.69427', '2019-10-20', 'в наличии', 52, '-'),
(209, 'рюкзак', 'инв.71142', '2016-07-10', 'в наличии', 53, '-'),
(210, 'шлем', 'инв.50973', '2017-12-04', 'в наличии', 53, '-'),
(211, 'бронежилет', 'инв.19483', '2019-05-29', 'в наличии', 53, '-'),
(212, 'противогаз', 'инв.36294', '2020-04-24', 'в наличии', 53, '-'),
(213, 'рюкзак', 'инв.61254', '2015-11-28', 'в наличии', 54, '-'),
(214, 'шлем', 'инв.43786', '2017-04-23', 'в наличии', 54, '-'),
(215, 'бронежилет', 'инв.91834', '2018-09-16', 'в наличии', 54, '-'),
(216, 'противогаз', 'инв.84167', '2019-04-11', 'в наличии', 54, '-'),
(217, 'рюкзак', 'инв.64628', '2016-04-08', 'в наличии', 55, '-'),
(218, 'шлем', 'инв.86179', '2017-08-22', 'в наличии', 55, '-'),
(219, 'бронежилет', 'инв.50391', '2018-11-17', 'в наличии', 55, '-'),
(220, 'противогаз', 'инв.59234', '2020-06-12', 'в наличии', 55, '-'),
(221, 'рюкзак', 'инв.51976', '2015-11-24', 'в наличии', 56, '-'),
(222, 'шлем', 'инв.73948', '2017-04-19', 'в наличии', 56, '-'),
(223, 'бронежилет', 'инв.30682', '2018-09-11', 'в наличии', 56, '-'),
(224, 'противогаз', 'инв.94572', '2019-04-06', 'в наличии', 56, '-'),
(225, 'рюкзак', 'инв.69472', '2015-07-05', 'в наличии', 57, '-'),
(226, 'шлем', 'инв.70283', '2016-12-30', 'в наличии', 57, '-'),
(227, 'бронежилет', 'инв.10382', '2018-03-23', 'в наличии', 57, '-'),
(228, 'противогаз', 'инв.69427', '2019-10-18', 'в наличии', 57, '-'),
(229, 'рюкзак', 'инв.71142', '2016-07-08', 'в наличии', 58, '-'),
(230, 'шлем', 'инв.50973', '2017-12-03', 'в наличии', 58, '-'),
(231, 'бронежилет', 'инв.19483', '2019-05-28', 'в наличии', 58, '-'),
(232, 'противогаз', 'инв.36294', '2020-04-23', 'в наличии', 58, '-'),
(233, 'рюкзак', 'инв.61254', '2015-11-25', 'в наличии', 59, '-'),
(234, 'шлем', 'инв.43786', '2017-04-20', 'в наличии', 59, '-'),
(235, 'бронежилет', 'инв.91834', '2018-09-13', 'в наличии', 59, '-'),
(236, 'противогаз', 'инв.84167', '2019-04-08', 'в наличии', 59, '-'),
(237, 'рюкзак', 'инв.64628', '2016-04-05', 'в наличии', 60, '-'),
(238, 'шлем', 'инв.86179', '2017-08-20', 'в наличии', 60, '-'),
(239, 'бронежилет', 'инв.50391', '2018-11-15', 'в наличии', 60, '-'),
(240, 'противогаз', 'инв.59234', '2020-06-09', 'в наличии', 60, '-'),
(241, 'рюкзак', 'инв.51976', '2015-11-27', 'в наличии', 61, '-'),
(242, 'шлем', 'инв.73948', '2017-04-22', 'в наличии', 61, '-'),
(243, 'бронежилет', 'инв.30682', '2018-09-12', 'в наличии', 61, '-'),
(244, 'противогаз', 'инв.94572', '2019-04-07', 'в наличии', 61, '-'),
(245, 'рюкзак', 'инв.69472', '2015-07-06', 'в наличии', 62, '-'),
(246, 'шлем', 'инв.70283', '2016-12-29', 'в наличии', 62, '-'),
(247, 'бронежилет', 'инв.10382', '2018-03-24', 'в наличии', 62, '-'),
(248, 'противогаз', 'инв.69427', '2019-10-20', 'в наличии', 62, '-'),
(249, 'рюкзак', 'инв.71142', '2016-07-10', 'в наличии', 63, '-'),
(250, 'шлем', 'инв.50973', '2017-12-04', 'в наличии', 63, '-'),
(251, 'бронежилет', 'инв.19483', '2019-05-29', 'в наличии', 63, '-'),
(252, 'противогаз', 'инв.36294', '2020-04-24', 'в наличии', 63, '-'),
(253, 'рюкзак', 'инв.61254', '2015-11-28', 'в наличии', 64, '-'),
(254, 'шлем', 'инв.43786', '2017-04-23', 'в наличии', 64, '-'),
(255, 'бронежилет', 'инв.91834', '2018-09-16', 'в наличии', 64, '-'),
(256, 'противогаз', 'инв.84167', '2019-04-11', 'в наличии', 64, '-'),
(257, 'рюкзак', 'инв.64628', '2016-04-08', 'в наличии', 65, '-'),
(258, 'шлем', 'инв.86179', '2017-08-22', 'в наличии', 65, '-'),
(259, 'бронежилет', 'инв.50391', '2018-11-17', 'в наличии', 65, '-'),
(260, 'противогаз', 'инв.59234', '2020-06-12', 'в наличии', 65, '-'),
(261, 'рюкзак', 'инв.51976', '2015-11-24', 'в наличии', 66, '-'),
(262, 'шлем', 'инв.73948', '2017-04-19', 'в наличии', 66, '-'),
(263, 'бронежилет', 'инв.30682', '2018-09-11', 'в наличии', 66, '-'),
(264, 'противогаз', 'инв.94572', '2019-04-06', 'в наличии', 66, '-'),
(265, 'рюкзак', 'инв.69472', '2015-07-05', 'в наличии', 67, '-'),
(266, 'шлем', 'инв.70283', '2016-12-30', 'в наличии', 67, '-'),
(267, 'бронежилет', 'инв.10382', '2018-03-23', 'в наличии', 67, '-'),
(268, 'противогаз', 'инв.69427', '2019-10-18', 'в наличии', 67, '-'),
(269, 'рюкзак', 'инв.71142', '2016-07-08', 'в наличии', 68, '-'),
(270, 'шлем', 'инв.50973', '2017-12-03', 'в наличии', 68, '-'),
(271, 'бронежилет', 'инв.19483', '2019-05-28', 'в наличии', 68, '-'),
(272, 'противогаз', 'инв.36294', '2020-04-23', 'в наличии', 68, '-'),
(273, 'рюкзак', 'инв.61254', '2015-11-25', 'в наличии', 69, '-'),
(274, 'шлем', 'инв.43786', '2017-04-20', 'в наличии', 69, '-'),
(275, 'бронежилет', 'инв.91834', '2018-09-13', 'в наличии', 69, '-'),
(276, 'противогаз', 'инв.84167', '2019-04-08', 'в наличии', 69, '-'),
(277, 'рюкзак', 'инв.64628', '2016-04-05', 'в наличии', 70, '-'),
(278, 'шлем', 'инв.86179', '2017-08-20', 'в наличии', 70, '-'),
(279, 'бронежилет', 'инв.50391', '2018-11-15', 'в наличии', 70, '-'),
(280, 'противогаз', 'инв.59234', '2020-06-09', 'в наличии', 70, '-'),
(281, 'рюкзак', 'инв.51976', '2015-11-27', 'в наличии', 71, '-'),
(282, 'шлем', 'инв.73948', '2017-04-22', 'в наличии', 71, '-'),
(283, 'бронежилет', 'инв.30682', '2018-09-12', 'в наличии', 71, '-'),
(284, 'противогаз', 'инв.94572', '2019-04-07', 'в наличии', 71, '-'),
(285, 'рюкзак', 'инв.69472', '2015-07-06', 'в наличии', 72, '-'),
(286, 'шлем', 'инв.70283', '2016-12-29', 'в наличии', 72, '-'),
(287, 'бронежилет', 'инв.10382', '2018-03-24', 'в наличии', 72, '-'),
(288, 'противогаз', 'инв.69427', '2019-10-20', 'в наличии', 72, '-'),
(289, 'рюкзак', 'инв.71142', '2016-07-10', 'в наличии', 73, '-'),
(290, 'шлем', 'инв.50973', '2017-12-04', 'в наличии', 73, '-'),
(291, 'бронежилет', 'инв.19483', '2019-05-29', 'в наличии', 73, '-'),
(292, 'противогаз', 'инв.36294', '2020-04-24', 'в наличии', 73, '-'),
(293, 'рюкзак', 'инв.61254', '2015-11-28', 'в наличии', 74, '-'),
(294, 'шлем', 'инв.43786', '2017-04-23', 'в наличии', 74, '-'),
(295, 'бронежилет', 'инв.91834', '2018-09-16', 'в наличии', 74, '-'),
(296, 'противогаз', 'инв.84167', '2019-04-11', 'в наличии', 74, '-'),
(297, 'рюкзак', 'инв.64628', '2016-04-08', 'в наличии', 75, '-'),
(298, 'шлем', 'инв.86179', '2017-08-22', 'в наличии', 75, '-'),
(299, 'бронежилет', 'инв.50391', '2018-11-17', 'в наличии', 75, '-'),
(300, 'противогаз', 'инв.59234', '2020-06-12', 'в наличии', 75, '-'),
(301, 'рюкзак', 'инв.51976', '2015-11-24', 'в наличии', 76, '-'),
(302, 'шлем', 'инв.73948', '2017-04-19', 'в наличии', 76, '-'),
(303, 'бронежилет', 'инв.30682', '2018-09-11', 'в наличии', 76, '-'),
(304, 'противогаз', 'инв.94572', '2019-04-06', 'в наличии', 76, '-'),
(305, 'рюкзак', 'инв.69472', '2015-07-05', 'в наличии', 77, '-'),
(306, 'шлем', 'инв.70283', '2016-12-30', 'в наличии', 77, '-'),
(307, 'бронежилет', 'инв.10382', '2018-03-23', 'в наличии', 77, '-'),
(308, 'противогаз', 'инв.69427', '2019-10-18', 'в наличии', 77, '-'),
(309, 'рюкзак', 'инв.71142', '2016-07-08', 'в наличии', 78, '-'),
(310, 'шлем', 'инв.50973', '2017-12-03', 'в наличии', 78, '-'),
(311, 'бронежилет', 'инв.19483', '2019-05-28', 'в наличии', 78, '-'),
(312, 'противогаз', 'инв.36294', '2020-04-23', 'в наличии', 78, '-'),
(313, 'рюкзак', 'инв.61254', '2015-11-25', 'в наличии', 79, '-'),
(314, 'шлем', 'инв.43786', '2017-04-20', 'в наличии', 79, '-'),
(315, 'бронежилет', 'инв.91834', '2018-09-13', 'в наличии', 79, '-'),
(316, 'противогаз', 'инв.84167', '2019-04-08', 'в наличии', 79, '-'),
(317, 'рюкзак', 'инв.64628', '2016-04-05', 'в наличии', 80, '-'),
(318, 'шлем', 'инв.86179', '2017-08-20', 'в наличии', 80, '-'),
(319, 'бронежилет', 'инв.50391', '2018-11-15', 'в наличии', 80, '-'),
(320, 'противогаз', 'инв.59234', '2020-06-09', 'в наличии', 80, '-'),
(321, 'рюкзак', 'инв.51976', '2015-11-27', 'в наличии', 81, '-'),
(322, 'шлем', 'инв.73948', '2017-04-22', 'в наличии', 81, '-'),
(323, 'бронежилет', 'инв.30682', '2018-09-12', 'в наличии', 81, '-'),
(324, 'противогаз', 'инв.94572', '2019-04-07', 'в наличии', 81, '-'),
(325, 'рюкзак', 'инв.69472', '2015-07-06', 'в наличии', 82, '-'),
(326, 'шлем', 'инв.70283', '2016-12-29', 'в наличии', 82, '-'),
(327, 'бронежилет', 'инв.10382', '2018-03-24', 'в наличии', 82, '-'),
(328, 'противогаз', 'инв.69427', '2019-10-20', 'в наличии', 82, '-'),
(329, 'рюкзак', 'инв.71142', '2016-07-10', 'в наличии', 83, '-'),
(330, 'шлем', 'инв.50973', '2017-12-04', 'в наличии', 83, '-'),
(331, 'бронежилет', 'инв.19483', '2019-05-29', 'в наличии', 83, '-'),
(332, 'противогаз', 'инв.36294', '2020-04-24', 'в наличии', 83, '-'),
(333, 'рюкзак', 'инв.61254', '2015-11-28', 'в наличии', 84, '-'),
(334, 'шлем', 'инв.43786', '2017-04-23', 'в наличии', 84, '-'),
(335, 'бронежилет', 'инв.91834', '2018-09-16', 'в наличии', 84, '-'),
(336, 'противогаз', 'инв.84167', '2019-04-11', 'в наличии', 84, '-'),
