INSERT INTO main_education (id, grade, institution, date_of_graduate, employee_id_id, speciality, description)
VALUES 
(1, 'Среднее полное', 'Московская гимназия №1', '2016-05-30', 1, '-', '-'),
(27, 'Среднее полное', 'Лицей №6 г. Иваново', '2016-05-30', 27, '-', '-'),
(28, 'Бакалавр', 'Московский Государственный Университет', '2023-07-01', 28, 'История', '-'),
(29, 'Среднее техническое', 'Колледж №7 г. Севастополя', '2018-06-30', 29, 'Столяр', '-'),
(30, 'Среднее полное', 'Школа №12 г. Кургана', '2017-05-30', 30, '-', '-'),
(31, 'Бакалавр', 'Санкт-Петербургский Государственный Университет', '2021-07-01', 31, 'Филология', '-'),
(32, 'Среднее техническое', 'Техникум №1 г. Вологды', '2016-06-30', 32, 'Слесарь', '-'),
(33, 'Среднее полное', 'Школа №3 г. Пензы', '2018-06-30', 33, '-', '-'),
(34, 'Бакалавр', 'Кубанский Государственный Университет', '2022-07-01', 34, 'Медицина', '-'),
(35, 'Среднее техническое', 'Техникум №5 г. Новосибирска', '2017-06-30', 35, 'Автомеханик', '-'),
(36, 'Среднее полное', 'Школа №9 г. Саратова', '2016-05-30', 36, '-', '-'),
(37, 'Бакалавр', 'МГУ', '2020-07-01', 37, 'Химия', '-'),
(38, 'Среднее техническое', 'Техникум №4 г. Рязани', '2018-06-30', 38, 'Слесарь-механик', '-'),
(39, 'Среднее полное', 'Гимназия №1 г. Кирова', '2017-05-30', 39, '-', '-'),
(40, 'Бакалавр', 'ТГУ им. Ленина', '2023-07-01', 40, 'Физика', '-'),
(41, 'Среднее техническое', 'Техникум №2 г. Омска', '2016-06-30', 41, 'Электромонтажник', '-'),
(42, 'Среднее полное', 'Школа №5 г. Казани', '2018-06-30', 42, '-', '-'),
(43, 'Бакалавр', 'Самарский Государственный Университет', '2022-07-01', 43, 'Педагогика', '-'),
(44, 'Среднее техническое', 'Техникум №1 г. Пензы', '2017-06-30', 44, 'Сварщик', '-'),
(45, 'Среднее полное', 'Лицей №3 г. Тулы', '2016-05-30', 45, '-', '-'),
(46, 'Бакалавр', 'Иркутский Государственный Университет', '2020-07-01', 46, 'Политология', '-'),
(47, 'Среднее техническое', 'Техникум №3 г. Самары', '2018-06-30', 47, 'Электрик', '-'),
(48, 'Среднее полное', 'Школа №11 г. Волгограда', '2017-05-30', 48, '-', '-'),
(49, 'Бакалавр', 'МГУ им. Ломоносова', '2021-07-01', 49, 'Физика', '-'),
(50, 'Среднее техническое', 'Техникум №2 г. Уфы', '2016-06-30', 50, 'Слесарь-сантехник', '-'),
(51, 'Среднее полное', 'Школа №4 г. Ярославля', '2018-06-30', 51, '-', '-'),
(52, 'Бакалавр', 'Новосибирский Государственный Университет', '2023-07-01', 52, 'Экономика', '-'),
(53, 'Среднее техническое', 'Техникум №1 г. Владивостока', '2017-06-30', 53, 'Технолог', '-'),
(54, 'Среднее полное', 'Гимназия №2 г. Красноярска', '2016-05-30', 54, '-', '-'),
(55, 'Бакалавр', 'МГТУ им. Баумана', '2022-07-01', 55, 'Информационные технологии', '-'),
(56, 'Среднее техническое', 'Техникум №3 г. Санкт-Петербурга', '2018-06-30', 56, 'Автомеханик', '-'),
(57, 'Среднее полное', 'Школа №7 г. Казани', '2017-05-30', 57, '-', '-'),
(58, 'Бакалавр', 'МГУ им. Ломоносова', '2023-07-01', 58, 'Психология', '-'),
(59, 'Среднее техническое', 'Техникум №1 г. Ростова-на-Дону', '2018-06-30', 59, 'Электромонтажник', '-'),
(60, 'Среднее полное', 'Лицей №1 г. Кургана', '2016-05-30', 60, '-', '-'),
(61, 'Бакалавр', 'СПбГУТ', '2022-07-01', 61, 'Электроника', '-'),
(62, 'Среднее техническое', 'Техникум №2 г. Челябинска', '2017-06-30', 62, 'Столяр', '-'),
(63, 'Среднее полное', 'Школа №9 г. Ярославля', '2018-05-30', 63, '-', '-'),
(64, 'Бакалавр', 'МГУ им. Ломоносова', '2023-07-01', 64, 'Физика', '-'),
(65, 'Среднее техническое', 'Техникум №3 г. Иркутска', '2017-06-30', 65, 'Слесарь-механик', '-'),
(66, 'Среднее полное', 'Школа №2 г. Пензы', '2016-05-30', 66, '-', '-'),
(67, 'Бакалавр', 'МГТУ им. Баумана', '2021-07-01', 67, 'Строительство', '-'),
(68, 'Среднее техническое', 'Техникум №2 г. Кирова', '2018-06-30', 68, 'Электромонтажник', '-'),
(69, 'Среднее полное', 'Лицей №1 г. Уфы', '2017-05-30', 69, '-', '-'),
(70, 'Бакалавр', 'СПбГУТ', '2023-07-01', 70, 'Информатика', '-'),
(71, 'Среднее техническое', 'Техникум №1 г. Тулы', '2018-06-30', 71, 'Технолог пищевых производств', '-'),
(72, 'Среднее полное', 'Школа №3 г. Кургана', '2016-05-30', 72, '-', '-'),
(73, 'Бакалавр', 'ТГУ им. Горького', '2022-07-01', 73, 'История', '-'),
(74, 'Среднее техническое', 'Техникум №1 г. Саратова', '2017-06-30', 74, 'Электромонтажник', '-'),
(75, 'Среднее полное', 'Школа №8 г. Владивостока', '2018-05-30', 75, '-', '-'),
(76, 'Бакалавр', 'ТГУ им. Ленина', '2023-07-01', 76, 'Экономика', '-'),
(77, 'Среднее техническое', 'Техникум №2 г. Читы', '2017-06-30', 77, 'Слесарь-сантехник', '-'),
(78, 'Среднее полное', 'Лицей №6 г. Воронежа', '2016-05-30', 78, '-', '-'),
(79, 'Бакалавр', 'МГТУ им. Баумана', '2022-07-01', 79, 'Программная инженерия', '-'),
(80, 'Среднее техническое', 'Техникум №1 г. Омска', '2018-06-30', 80, 'Электромонтажник', '-'),
(81, 'Среднее полное', 'Школа №5 г. Краснодара', '2017-05-30', 81, '-', '-'),
(82, 'Бакалавр', 'СПбГУТ', '2023-07-01', 82, 'Филология', '-'),
(83, 'Среднее техническое', 'Техникум №3 г. Волгограда', '2017-06-30', 83, 'Столяр', '-'),
(84, 'Среднее полное', 'Школа №4 г. Тулы', '2016-05-30', 84, '-', '-'),
(85, 'Бакалавр', 'МГУ им. Ломоносова', '2021-07-01', 85, 'Химия', '-'),
(86, 'Среднее техническое', 'Техникум №2 г. Тамбова', '2018-06-30', 86, 'Технолог', '-'),
(87, 'Среднее полное', 'Гимназия №1 г. Кургана', '2017-05-30', 87, '-', '-'),
(88, 'Бакалавр', 'МГУ им. Ломоносова', '2023-07-01', 88, 'Информационные технологии', '-'),
(89, 'Среднее техническое', 'Техникум №1 г. Пензы', '2017-06-30', 89, 'Электромонтажник', '-'),
(90, 'Среднее полное', 'Лицей №2 г. Самары', '2016-05-30', 90, '-', '-'),
(91, 'Бакалавр', 'СПбГУТ', '2022-07-01', 91, 'Информатика', '-'),
(92, 'Среднее техническое', 'Техникум №3 г. Тулы', '2018-06-30', 92, 'Слесарь-сантехник', '-'),
(93, 'Среднее полное', 'Школа №6 г. Кургана', '2017-05-30', 93, '-', '-'),
(94, 'Бакалавр', 'МГУ им. Ломоносова', '2023-07-01', 94, 'Физика', '-'),
(95, 'Среднее техническое', 'Техникум №2 г. Иркутска', '2018-06-30', 95, 'Столяр', '-'),
(96, 'Среднее полное', 'Гимназия №1 г. Тулы', '2016-05-30', 96, '-', '-'),
(97, 'Бакалавр', 'МГТУ им. Баумана', '2022-07-01', 97, 'Экономика', '-'),
(98, 'Среднее техническое', 'Техникум №1 г. Пензы', '2018-06-30', 98, 'Технолог', '-'),
(99, 'Среднее полное', 'Лицей №2 г. Самары', '2017-05-30', 99, '-', '-'),
(100, 'Бакалавр', 'МГУ им. Ломоносова', '2023-07-01', 100, 'Филология', '-');
